mp_id,formula,folder_name,prim_n_atoms
mp_24056,FeH18C3N3F23_,mp_24056_FeH18C3N3F23__feff_Fe_site_01,296
mp_1198461,Na5FeP2O4F2_,mp_1198461_Na5FeP2O4F2__feff_Fe_site_01,288
mp_1194812,Fe2H14C8NO12_,mp_1194812_Fe2H14C8NO12__feff_Fe_site_01,222
mp_652793,Fe2Co4Ge2CO21_,mp_652793_Fe2Co4Ge2CO21__feff_Fe_site_01,200
mp_707911,NaFeP3H7O13_,mp_707911_NaFeP3H7O13__feff_Fe_site_01,200
mp_850003,NaCaFe3PO44_,mp_850003_NaCaFe3PO44__feff_Fe_site_01,200
mp_680291,Ba15Fe7S25,mp_680291_Ba15Fe7S25_feff_Fe_site_01,188
mp_680291,Ba15Fe7S25,mp_680291_Ba15Fe7S25_feff_Fe_site_02,188
mp_680291,Ba15Fe7S25,mp_680291_Ba15Fe7S25_feff_Fe_site_07,188
mp_680291,Ba15Fe7S25,mp_680291_Ba15Fe7S25_feff_Fe_site_04,188
mp_680291,Ba15Fe7S25,mp_680291_Ba15Fe7S25_feff_Fe_site_05,188
mp_680291,Ba15Fe7S25,mp_680291_Ba15Fe7S25_feff_Fe_site_03,188
mp_680291,Ba15Fe7S25,mp_680291_Ba15Fe7S25_feff_Fe_site_06,188
mp_1204059,Fe3Ag7P2O74_,mp_1204059_Fe3Ag7P2O74__feff_Fe_site_01,184
mp_704255,Mn2Fe3Sn2CO19_,mp_704255_Mn2Fe3Sn2CO19__feff_Fe_site_01,180
mp_704100,K5NaFe2CO212_,mp_704100_K5NaFe2CO212__feff_Fe_site_01,176
mp_1213612,FeH18C6N6O13_,mp_1213612_FeH18C6N6O13__feff_Fe_site_01,176
mp_1200037,K5NaFe2CO212_,mp_1200037_K5NaFe2CO212__feff_Fe_site_01,176
mp_863290,Rb5Fe3SO56_,mp_863290_Rb5Fe3SO56__feff_Fe_site_01,176
mp_1197792,CaFe3P3H2O13_,mp_1197792_CaFe3P3H2O13__feff_Fe_site_01,176
mp_1199661,K3FeCO26_,mp_1199661_K3FeCO26__feff_Fe_site_01,176
mp_704853,CrFe4P2CO18_,mp_704853_CrFe4P2CO18__feff_Fe_site_01,172
mp_604071,K2FePH5CO52_,mp_604071_K2FePH5CO52__feff_Fe_site_01,168
mp_849804,LiFeSiO4_,mp_849804_LiFeSiO4__feff_Fe_site_01,168
mp_651406,MnInFeCO9_,mp_651406_MnInFeCO9__feff_Fe_site_01,168
mp_758000,LiFePO4_,mp_758000_LiFePO4__feff_Fe_site_01,168
mp_758598,LiFePO4_,mp_758598_LiFePO4__feff_Fe_site_01,168
mp_650968,Nd5FeB18,mp_650968_Nd5FeB18_feff_Fe_site_09,164
mp_650968,Nd5FeB18,mp_650968_Nd5FeB18_feff_Fe_site_01,164
mp_650968,Nd5FeB18,mp_650968_Nd5FeB18_feff_Fe_site_07,164
mp_650968,Nd5FeB18,mp_650968_Nd5FeB18_feff_Fe_site_08,164
mp_650968,Nd5FeB18,mp_650968_Nd5FeB18_feff_Fe_site_02,164
mp_650968,Nd5FeB18,mp_650968_Nd5FeB18_feff_Fe_site_03,164
mp_650968,Nd5FeB18,mp_650968_Nd5FeB18_feff_Fe_site_06,164
mp_650968,Nd5FeB18,mp_650968_Nd5FeB18_feff_Fe_site_04,164
mp_650968,Nd5FeB18,mp_650968_Nd5FeB18_feff_Fe_site_05,164
mp_616616,Sr15Fe10Bi5O232_,mp_616616_Sr15Fe10Bi5O232__feff_Fe_site_01,162
mp_818295,Fe9Si6O25_,mp_818295_Fe9Si6O25__feff_Fe_site_01,160
mp_735783,BaNaFe4P6H3O25_,mp_735783_BaNaFe4P6H3O25__feff_Fe_site_01,160
mp_757676,Li4FeP2O9_,mp_757676_Li4FeP2O9__feff_Fe_site_01,160
mp_24776,FeH18NO63_,mp_24776_FeH18NO63__feff_Fe_site_01,160
mp_600165,FeH24C8NCl22_,mp_600165_FeH24C8NCl22__feff_Fe_site_01,156
mp_764875,Fe3PO42_,mp_764875_Fe3PO42__feff_Fe_site_01,156
mp_532545,K2ZrFePO43_,mp_532545_K2ZrFePO43__feff_Fe_site_01,152
mp_1178011,Li2Fe2SO43_,mp_1178011_Li2Fe2SO43__feff_Fe_site_01,152
mp_1185592,Mg149Fe,mp_1185592_Mg149Fe_feff_Fe_site_01,150
mp_652092,Fe4PbCO16_,mp_652092_Fe4PbCO16__feff_Fe_site_01,148
mp_649805,Fe4GeCO16_,mp_649805_Fe4GeCO16__feff_Fe_site_01,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_01,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_09,148
mp_653596,Fe4SiCO16_,mp_653596_Fe4SiCO16__feff_Fe_site_01,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_07,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_08,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_06,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_05,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_03,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_04,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_11,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_10,148
mp_1215162,Al119Cr16Fe13,mp_1215162_Al119Cr16Fe13_feff_Fe_site_02,148
mp_1201957,Na3FeH10C6O17_,mp_1201957_Na3FeH10C6O17__feff_Fe_site_01,148
mp_1201707,Fe3P3H12C2N2O13F2_,mp_1201707_Fe3P3H12C2N2O13F2__feff_Fe_site_01,148
mp_683793,Fe4Te2MoC14SO72_,mp_683793_Fe4Te2MoC14SO72__feff_Fe_site_01,148
mp_706411,Fe4SnCO16_,mp_706411_Fe4SnCO16__feff_Fe_site_01,148
mp_743549,Fe3P8H26NO36_,mp_743549_Fe3P8H26NO36__feff_Fe_site_01,148
mp_1226982,FeB18H42C8SN2_,mp_1226982_FeB18H42C8SN2__feff_Fe_site_01,146
mp_1076090,BaSr7Fe2O54_,mp_1076090_BaSr7Fe2O54__feff_Fe_site_01,144
mp_1076092,Sr7CaMn2Fe3O102_,mp_1076092_Sr7CaMn2Fe3O102__feff_Fe_site_01,144
mp_1076141,Sr5Ca3Mn4FeO54_,mp_1076141_Sr5Ca3Mn4FeO54__feff_Fe_site_01,144
mp_1076177,Sr6Ca2Mn3FeO45_,mp_1076177_Sr6Ca2Mn3FeO45__feff_Fe_site_01,144
mp_1076159,Sr7CaFe4CoO54_,mp_1076159_Sr7CaFe4CoO54__feff_Fe_site_01,144
mp_1076163,Sr4Ca4Mn7FeO20_,mp_1076163_Sr4Ca4Mn7FeO20__feff_Fe_site_01,144
mp_1076181,BaSr7Mn2Fe3O102_,mp_1076181_BaSr7Mn2Fe3O102__feff_Fe_site_01,144
mp_1099847,SrCa7FeCo7O20_,mp_1099847_SrCa7FeCo7O20__feff_Fe_site_01,144
mp_1099892,La6Sm2Cr3FeO45_,mp_1099892_La6Sm2Cr3FeO45__feff_Fe_site_01,144
mp_1099862,BaSr7Fe6CoO102_,mp_1099862_BaSr7Fe6CoO102__feff_Fe_site_01,144
mp_1099907,Ca7MgFeCo7O20_,mp_1099907_Ca7MgFeCo7O20__feff_Fe_site_01,144
mp_1076147,Sr2Ca2Fe3CoO10_,mp_1076147_Sr2Ca2Fe3CoO10__feff_Fe_site_01,144
mp_1076450,Sr3Ca5Mn4FeO54_,mp_1076450_Sr3Ca5Mn4FeO54__feff_Fe_site_01,144
mp_1099974,Sr6Ca2MnFe7O20_,mp_1099974_Sr6Ca2MnFe7O20__feff_Fe_site_01,144
mp_1076487,Sr7CaMnFe7O20_,mp_1076487_Sr7CaMnFe7O20__feff_Fe_site_01,144
mp_1076488,Sr6Ca2Fe3CoO45_,mp_1076488_Sr6Ca2Fe3CoO45__feff_Fe_site_01,144
mp_1076502,Sr4Ca4Fe3CoO45_,mp_1076502_Sr4Ca4Fe3CoO45__feff_Fe_site_01,144
mp_1076459,La7SmCrFe7O20_,mp_1076459_La7SmCrFe7O20__feff_Fe_site_03,144
mp_1076473,BaSr7MnFe7O20_,mp_1076473_BaSr7MnFe7O20__feff_Fe_site_01,144
mp_1076449,SrCa7Mn7FeO20_,mp_1076449_SrCa7Mn7FeO20__feff_Fe_site_01,144
mp_1076761,Sr3CaFe2O52_,mp_1076761_Sr3CaFe2O52__feff_Fe_site_01,144
mp_1196434,K5Fe2Te5,mp_1196434_K5Fe2Te5_feff_Fe_site_01,144
mp_1076601,Sr5Ca3Mn6FeO102_,mp_1076601_Sr5Ca3Mn6FeO102__feff_Fe_site_01,144
mp_1076516,Sr5Ca3Fe7CoO20_,mp_1076516_Sr5Ca3Fe7CoO20__feff_Fe_site_01,144
mp_1076750,Sr3Ca5Mn7FeO20_,mp_1076750_Sr3Ca5Mn7FeO20__feff_Fe_site_01,144
mp_1076758,Sr7CaFe5Co3O20_,mp_1076758_Sr7CaFe5Co3O20__feff_Fe_site_01,144
mp_1076631,Sr7CaFe6CoO102_,mp_1076631_Sr7CaFe6CoO102__feff_Fe_site_01,144
mp_1099946,Sr7CaFe7CoO20_,mp_1099946_Sr7CaFe7CoO20__feff_Fe_site_01,144
mp_1182791,CaMgFeP2O13_,mp_1182791_CaMgFeP2O13__feff_Fe_site_01,144
mp_1099810,Sr2Ca6Mn7FeO20_,mp_1099810_Sr2Ca6Mn7FeO20__feff_Fe_site_01,144
mp_1099798,Sr5Ca3Fe2Co3O102_,mp_1099798_Sr5Ca3Fe2Co3O102__feff_Fe_site_01,144
mp_1099831,Ca7MgMn7FeO20_,mp_1099831_Ca7MgMn7FeO20__feff_Fe_site_01,144
mp_1099816,Sr5Ca3FeCo7O20_,mp_1099816_Sr5Ca3FeCo7O20__feff_Fe_site_01,144
mp_1099745,SrCa7Fe2Co3O102_,mp_1099745_SrCa7Fe2Co3O102__feff_Fe_site_01,144
mp_1076198,Sr2Ca6Fe3CoO45_,mp_1076198_Sr2Ca6Fe3CoO45__feff_Fe_site_01,144
mp_1076428,Sr5Ca3Fe4CoO54_,mp_1076428_Sr5Ca3Fe4CoO54__feff_Fe_site_01,144
mp_1076197,Sr2Ca2Mn3FeO10_,mp_1076197_Sr2Ca2Mn3FeO10__feff_Fe_site_01,144
mp_1076190,Sr4Ca4Mn5Fe3O20_,mp_1076190_Sr4Ca4Mn5Fe3O20__feff_Fe_site_01,144
mp_1076862,Sr2Ca6Mn5Fe3O20_,mp_1076862_Sr2Ca6Mn5Fe3O20__feff_Fe_site_01,144
mp_1076884,Sr6Ca2Fe7CoO20_,mp_1076884_Sr6Ca2Fe7CoO20__feff_Fe_site_01,144
mp_1077691,SrCa7Mn6FeO102_,mp_1077691_SrCa7Mn6FeO102__feff_Fe_site_01,144
mp_1076769,Sr6Ca2Fe5Co3O20_,mp_1076769_Sr6Ca2Fe5Co3O20__feff_Fe_site_01,144
mp_1076892,BaSr7Fe7CoO20_,mp_1076892_BaSr7Fe7CoO20__feff_Fe_site_01,144
mp_1099653,Sr2Ca6FeCo7O20_,mp_1099653_Sr2Ca6FeCo7O20__feff_Fe_site_01,144
mp_1099692,Sr7CaMn4FeO54_,mp_1099692_Sr7CaMn4FeO54__feff_Fe_site_01,144
mp_1076479,Sr3Ca5FeCo7O20_,mp_1076479_Sr3Ca5FeCo7O20__feff_Fe_site_01,144
mp_1076165,Sr8Fe7CoO20_,mp_1076165_Sr8Fe7CoO20__feff_Fe_site_01,144
mp_1076444,Sr2Ca2MnFe3O10_,mp_1076444_Sr2Ca2MnFe3O10__feff_Fe_site_01,144
mp_1076409,Sr8MnFe7O20_,mp_1076409_Sr8MnFe7O20__feff_Fe_site_01,144
mp_1076199,Sr5Ca3MnFe7O20_,mp_1076199_Sr5Ca3MnFe7O20__feff_Fe_site_01,144
mp_1099665,Sr2Ca2FeCo3O10_,mp_1099665_Sr2Ca2FeCo3O10__feff_Fe_site_01,144
mp_1099661,Sr7CaMn3FeO45_,mp_1099661_Sr7CaMn3FeO45__feff_Fe_site_01,144
mp_556871,Na3Fe2P2O8F3_,mp_556871_Na3Fe2P2O8F3__feff_Fe_site_01,144
mp_1099672,Sr5Ca3Mn7FeO20_,mp_1099672_Sr5Ca3Mn7FeO20__feff_Fe_site_01,144
mp_1076182,Sr6Ca2Mn5Fe3O20_,mp_1076182_Sr6Ca2Mn5Fe3O20__feff_Fe_site_01,144
mp_1099708,Sr3Ca5Fe4CoO54_,mp_1099708_Sr3Ca5Fe4CoO54__feff_Fe_site_01,144
mp_704755,Fe3PWC15BrO15_,mp_704755_Fe3PWC15BrO15__feff_Fe_site_01,144
mp_1100009,Sr4Ca4FeCo7O20_,mp_1100009_Sr4Ca4FeCo7O20__feff_Fe_site_01,144
mp_1199719,Na3Fe2P2O8F3_,mp_1199719_Na3Fe2P2O8F3__feff_Fe_site_01,144
mp_1076614,Sr3Ca5Fe5Co3O20_,mp_1076614_Sr3Ca5Fe5Co3O20__feff_Fe_site_01,144
mp_1076482,Sr3Ca5Mn3FeO45_,mp_1076482_Sr3Ca5Mn3FeO45__feff_Fe_site_01,144
mp_31403,Al39Fe7Cu24,mp_31403_Al39Fe7Cu24_feff_Fe_site_02,140
mp_31403,Al39Fe7Cu24,mp_31403_Al39Fe7Cu24_feff_Fe_site_01,140
mp_1203485,Fe3B11HO20_,mp_1203485_Fe3B11HO20__feff_Fe_site_01,140
mp_1201385,Ba3Fe26O41_,mp_1201385_Ba3Fe26O41__feff_Fe_site_01,140
mp_30702,Sc29Fe6,mp_30702_Sc29Fe6_feff_Fe_site_02,140
mp_31403,Al39Fe7Cu24,mp_31403_Al39Fe7Cu24_feff_Fe_site_03,140
mp_30702,Sc29Fe6,mp_30702_Sc29Fe6_feff_Fe_site_01,140
mp_735701,KFe3P8H11O182_,mp_735701_KFe3P8H11O182__feff_Fe_site_01,140
mp_651106,FeSb2WC8Se2O2F34_,mp_651106_FeSb2WC8Se2O2F34__feff_Fe_site_01,136
mp_1200389,Fe7Sb3P3ClO63_,mp_1200389_Fe7Sb3P3ClO63__feff_Fe_site_01,136
mp_764827,Fe2CuAs2HO52_,mp_764827_Fe2CuAs2HO52__feff_Fe_site_01,136
mp_1213596,Fe2WO43_,mp_1213596_Fe2WO43__feff_Fe_site_01,136
mp_1194614,FeH20C8NCl4_,mp_1194614_FeH20C8NCl4__feff_Fe_site_01,136
mp_705435,Fe2MoO43_,mp_705435_Fe2MoO43__feff_Fe_site_01,136
mp_704851,Fe2MoO43_,mp_704851_Fe2MoO43__feff_Fe_site_01,136
mp_1197479,Fe7Sb3P3BrO63_,mp_1197479_Fe7Sb3P3BrO63__feff_Fe_site_01,136
mp_745200,Fe2P2H4NO8_,mp_745200_Fe2P2H4NO8__feff_Fe_site_01,136
mp_1182833,Fe2P2H4NO8_,mp_1182833_Fe2P2H4NO8__feff_Fe_site_01,136
mp_1182219,Li4FeC6ClO21_,mp_1182219_Li4FeC6ClO21__feff_Fe_site_01,132
mp_1205160,Rb9Fe7PO410_,mp_1205160_Rb9Fe7PO410__feff_Fe_site_01,132
mp_1202597,Na3FeSO53_,mp_1202597_Na3FeSO53__feff_Fe_site_01,132
mp_1201806,FeH21C7S3N_,mp_1201806_FeH21C7S3N__feff_Fe_site_01,132
mp_1205261,Li4FeC6ClO21_,mp_1205261_Li4FeC6ClO21__feff_Fe_site_01,132
mp_759270,Li5FeSiO42_,mp_759270_Li5FeSiO42__feff_Fe_site_01,128
mp_583509,Ba5FeS29,mp_583509_Ba5FeS29_feff_Fe_site_04,128
mp_583509,Ba5FeS29,mp_583509_Ba5FeS29_feff_Fe_site_01,128
mp_583509,Ba5FeS29,mp_583509_Ba5FeS29_feff_Fe_site_02,128
mp_581532,Cs3Fe4PO45_,mp_581532_Cs3Fe4PO45__feff_Fe_site_01,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_03,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_01,128
mp_583509,Ba5FeS29,mp_583509_Ba5FeS29_feff_Fe_site_05,128
mp_28640,K2FeF5,mp_28640_K2FeF5_feff_Fe_site_02,128
mp_24447,FeCoH18NCl6_,mp_24447_FeCoH18NCl6__feff_Fe_site_01,128
mp_28640,K2FeF5,mp_28640_K2FeF5_feff_Fe_site_01,128
mp_24117,CrFeH18NF6_,mp_24117_CrFeH18NF6__feff_Fe_site_01,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_04,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_05,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_06,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_07,128
mp_680207,Gd2FeB7,mp_680207_Gd2FeB7_feff_Fe_site_02,128
mp_1207884,ZnFePO5_,mp_1207884_ZnFePO5__feff_Fe_site_01,128
mp_583509,Ba5FeS29,mp_583509_Ba5FeS29_feff_Fe_site_03,128
mp_554621,K2FeF5,mp_554621_K2FeF5_feff_Fe_site_02,128
mp_757582,Li4FeP2O9_,mp_757582_Li4FeP2O9__feff_Fe_site_01,128
mp_554621,K2FeF5,mp_554621_K2FeF5_feff_Fe_site_03,128
mp_554621,K2FeF5,mp_554621_K2FeF5_feff_Fe_site_04,128
mp_554621,K2FeF5,mp_554621_K2FeF5_feff_Fe_site_01,128
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_07,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_14,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_06,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_11,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_10,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_09,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_08,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_15,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_02,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_01,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_12,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_13,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_05,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_03,127
mp_707411,Zn3Fe15Cu39Ge3S322,mp_707411_Zn3Fe15Cu39Ge3S322_feff_Fe_site_04,127
mp_1196071,Ba2Fe2O5_,mp_1196071_Ba2Fe2O5__feff_Fe_site_01,126
mp_1100888,ZnFe2O34_,mp_1100888_ZnFe2O34__feff_Fe_site_01,126
mp_654312,Ba2Fe2O5_,mp_654312_Ba2Fe2O5__feff_Fe_site_01,126
mp_765464,Fe2H11SeO53_,mp_765464_Fe2H11SeO53__feff_Fe_site_01,124
mp_560126,Fe4P2O73_,mp_560126_Fe4P2O73__feff_Fe_site_01,124
mp_1205043,Rb7Fe7P8HO94_,mp_1205043_Rb7Fe7P8HO94__feff_Fe_site_01,124
mp_706459,Fe4C14O13_,mp_706459_Fe4C14O13__feff_Fe_site_01,124
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_10,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_07,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_02,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_03,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_12,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_13,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_01,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_11,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_05,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_04,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_06,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_08,123
mp_1229249,Al79Fe13Si92,mp_1229249_Al79Fe13Si92_feff_Fe_site_09,123
mp_683831,Fe3MoC11SeS3O11_,mp_683831_Fe3MoC11SeS3O11__feff_Fe_site_01,120
mp_818725,FeB6CO4_,mp_818725_FeB6CO4__feff_Fe_site_01,120
mp_1173803,Na3CaFe4SiO38_,mp_1173803_Na3CaFe4SiO38__feff_Fe_site_01,120
mp_1225171,Mn2Al3FePO73_,mp_1225171_Mn2Al3FePO73__feff_Fe_site_01,120
mp_1196537,FeAs2H18C2I3_,mp_1196537_FeAs2H18C2I3__feff_Fe_site_01,120
mp_1173284,Sr2FeMoO6_,mp_1173284_Sr2FeMoO6__feff_Fe_site_01,120
mp_1223304,Mg2Al16Fe6Si20O73_,mp_1223304_Mg2Al16Fe6Si20O73__feff_Fe_site_01,117
mp_720729,K3Fe3P4H2O17_,mp_720729_K3Fe3P4H2O17__feff_Fe_site_01,116
mp_1208570,V2Fe4Mo3O20_,mp_1208570_V2Fe4Mo3O20__feff_Fe_site_01,116
mp_744690,NaLi3Ti2Fe2PO46_,mp_744690_NaLi3Ti2Fe2PO46__feff_Fe_site_01,114
mp_1265553,Al2FeO33_,mp_1265553_Al2FeO33__feff_Fe_site_01,112
mp_744713,NaFe3P2H4O72_,mp_744713_NaFe3P2H4O72__feff_Fe_site_01,112
mp_744767,MnFeH14O7F5_,mp_744767_MnFeH14O7F5__feff_Fe_site_01,112
mp_759315,LiFeSiO4_,mp_759315_LiFeSiO4__feff_Fe_site_01,112
mp_758892,LiFeSiO4_,mp_758892_LiFeSiO4__feff_Fe_site_01,112
mp_568158,Nd2Fe23B3,mp_568158_Nd2Fe23B3_feff_Fe_site_04,112
mp_568158,Nd2Fe23B3,mp_568158_Nd2Fe23B3_feff_Fe_site_02,112
mp_1204955,K3Fe6F19,mp_1204955_K3Fe6F19_feff_Fe_site_01,112
mp_1204707,Fe3P4H8NO12_,mp_1204707_Fe3P4H8NO12__feff_Fe_site_01,112
mp_568158,Nd2Fe23B3,mp_568158_Nd2Fe23B3_feff_Fe_site_01,112
mp_694615,LiFePO4_,mp_694615_LiFePO4__feff_Fe_site_01,112
mp_1204955,K3Fe6F19,mp_1204955_K3Fe6F19_feff_Fe_site_04,112
