sample_name,kind,reference,compared_to,R_factor,Pearson,RMSE,MAE
mp-10924__mp-10924-EXAFS-Mg-K,chi,orig,pred,0.9318799063686379,0.26123760744792257,0.10731488147922386,0.06100086005775701
mp-10924__mp-10924-EXAFS-Mg-K,chi,orig,true,,,,
mp-10924__mp-10924-EXAFS-Mg-K,chi,true,pred,,,,
mp-10924__mp-10924-EXAFS-Mg-K,xmu,orig,pred,0.04016411796419429,0.9267808464332165,0.10108252779680138,0.02801080789996849
mp-10924__mp-10924-EXAFS-Mg-K,xmu,orig,true,,,,
mp-10924__mp-10924-EXAFS-Mg-K,xmu,true,pred,,,,
mp-11383__mp-11383-EXAFS-Fe-K,chi,orig,pred,0.7167884613408264,0.5508770975969489,0.06324502354796253,0.033397048079935626
mp-11383__mp-11383-EXAFS-Fe-K,chi,orig,true,1.7775538108256843,0.3478426193833891,0.09959607743799921,0.04735599614809789
mp-11383__mp-11383-EXAFS-Fe-K,chi,true,pred,0.9087438804866539,0.2858288710168781,0.1132862140514849,0.06273343126467207
mp-11383__mp-11383-EXAFS-Fe-K,xmu,orig,pred,0.010106689331836479,0.8235020427376271,0.08126368891820858,0.03932698748036669
mp-11383__mp-11383-EXAFS-Fe-K,xmu,orig,true,0.014118465232216887,0.8497763906130905,0.09585945895085136,0.0664348384676008
mp-11383__mp-11383-EXAFS-Fe-K,xmu,true,pred,0.011813744101421164,0.9388748930081937,0.09378476266490308,0.08535187175239724
mp-13018__mp-13018-EXAFS-Sn-K,chi,orig,pred,0.920355072926982,0.3139001176106135,0.12359634905539431,0.0900034188037801
mp-13018__mp-13018-EXAFS-Sn-K,chi,orig,true,0.9617775780025618,0.23954452043216765,0.1263470950163392,0.07667673245107187
mp-13018__mp-13018-EXAFS-Sn-K,chi,true,pred,2.1845610276063274,-0.5804202726628306,0.06358709270768802,0.03909005923464925
mp-13018__mp-13018-EXAFS-Sn-K,xmu,orig,pred,0.003358978810663892,0.5084794342632659,0.05672874524809791,0.02437070233950285
mp-13018__mp-13018-EXAFS-Sn-K,xmu,orig,true,0.00876604432267278,0.8638053692726252,0.09157322321446557,0.08561160735221623
mp-13018__mp-13018-EXAFS-Sn-K,xmu,true,pred,0.00999504224110157,0.8484926503868242,0.08938290813918578,0.08397509164516488
mp-14226__mp-14226-EXAFS-Y-K,chi,orig,pred,0.9767556446118362,0.24912096232451128,0.0976678555893403,0.05363730950055395
mp-14226__mp-14226-EXAFS-Y-K,chi,orig,true,,,,
mp-14226__mp-14226-EXAFS-Y-K,chi,true,pred,,,,
mp-14226__mp-14226-EXAFS-Y-K,xmu,orig,pred,0.006603649494850027,0.6760903762159471,0.07038278543908917,0.04381659523569506
mp-14226__mp-14226-EXAFS-Y-K,xmu,orig,true,,,,
mp-14226__mp-14226-EXAFS-Y-K,xmu,true,pred,,,,
mp-2114__mp-2114-EXAFS-N-K,chi,orig,pred,,,,
mp-2114__mp-2114-EXAFS-N-K,chi,orig,true,,,,
mp-2114__mp-2114-EXAFS-N-K,chi,true,pred,,,,
mp-2114__mp-2114-EXAFS-N-K,xmu,orig,pred,0.06869259987596799,0.9560175930433601,0.08729596585141963,0.03501926124272445
mp-2114__mp-2114-EXAFS-N-K,xmu,orig,true,,,,
mp-2114__mp-2114-EXAFS-N-K,xmu,true,pred,,,,
mp-2313__mp-2313-EXAFS-In-K,chi,orig,pred,0.9067773277752071,0.3479707116956175,0.06613806115668683,0.04394344589237198
mp-2313__mp-2313-EXAFS-In-K,chi,orig,true,1.35897378228592,-0.22123564012336658,0.08096674347513153,0.05143454511586442
mp-2313__mp-2313-EXAFS-In-K,chi,true,pred,1.5648376314813564,-0.28398413784855153,0.03647471729475106,0.0277060077928696
mp-2313__mp-2313-EXAFS-In-K,xmu,orig,pred,0.003900952941885614,0.5788233331335695,0.05958626490845531,0.0361931543341452
mp-2313__mp-2313-EXAFS-In-K,xmu,orig,true,0.030825535940347225,0.5175226724059039,0.16751685160192695,0.1603387289544957
mp-2313__mp-2313-EXAFS-In-K,xmu,true,pred,0.0579783864773045,0.8129420916821457,0.19162729033376985,0.18834620271898367
mp-23926__mp-23926-EXAFS-Hg-K,chi,orig,pred,1.7691552032025684,0.09606584003493761,0.007632691427430939,0.005298338567052977
mp-23926__mp-23926-EXAFS-Hg-K,chi,orig,true,,,,
mp-23926__mp-23926-EXAFS-Hg-K,chi,true,pred,,,,
mp-23926__mp-23926-EXAFS-Hg-K,xmu,orig,pred,0.013593113275128896,0.9828648070786984,0.11139127434758762,0.11096242945972869
mp-23926__mp-23926-EXAFS-Hg-K,xmu,orig,true,,,,
mp-23926__mp-23926-EXAFS-Hg-K,xmu,true,pred,,,,
mp-2674__mp-2674-EXAFS-Y-K,chi,orig,pred,0.9926000885092677,0.09564484168350962,0.13185751227192447,0.06852845854646468
mp-2674__mp-2674-EXAFS-Y-K,chi,orig,true,0.7350859937633765,0.6093666688547581,0.11347150024803959,0.05702605617217798
mp-2674__mp-2674-EXAFS-Y-K,chi,true,pred,0.9643254202799698,0.245266208645302,0.038525124590156834,0.029684359741442203
mp-2674__mp-2674-EXAFS-Y-K,xmu,orig,pred,0.005395249270255566,0.8414902572449519,0.0651942492818676,0.04904987689250143
mp-2674__mp-2674-EXAFS-Y-K,xmu,orig,true,0.004663661861388013,0.8645395812100956,0.06060277554021032,0.04732445072682839
mp-2674__mp-2674-EXAFS-Y-K,xmu,true,pred,0.0008392528751463638,0.9506590823105711,0.024397810239641455,0.020189031690720158
mp-6793__mp-6793-EXAFS-La-K,chi,orig,pred,1.6883224354937874,-0.1475189328361875,0.031278544318973894,0.01912104400703503
mp-6793__mp-6793-EXAFS-La-K,chi,orig,true,1.003292017453428,0.2416427732841499,0.024111960065647836,0.01573549081201507
mp-6793__mp-6793-EXAFS-La-K,chi,true,pred,5.921642052327435,0.05447657229207092,0.02809049422044213,0.017049497501893468
mp-6793__mp-6793-EXAFS-La-K,xmu,orig,pred,0.0017375105685365436,0.8693444223726879,0.038142619970655496,0.015020014114522678
mp-6793__mp-6793-EXAFS-La-K,xmu,orig,true,0.0007791234606528253,0.9355307045403843,0.025534950311059765,0.011861632752120559
mp-6793__mp-6793-EXAFS-La-K,xmu,true,pred,0.0010256385433048709,0.8892593019646403,0.029098318915753735,0.014410326581754838
mp-765005__mp-765005-EXAFS-Si-K,chi,orig,pred,,,,
mp-765005__mp-765005-EXAFS-Si-K,chi,orig,true,,,,
mp-765005__mp-765005-EXAFS-Si-K,chi,true,pred,,,,
mp-765005__mp-765005-EXAFS-Si-K,xmu,orig,pred,0.03764282039897581,0.9052917374680166,0.11881968180793125,0.026414339458184263
mp-765005__mp-765005-EXAFS-Si-K,xmu,orig,true,,,,
mp-765005__mp-765005-EXAFS-Si-K,xmu,true,pred,,,,
mp-769563__mp-769563-EXAFS-V-K,chi,orig,pred,,,,
mp-769563__mp-769563-EXAFS-V-K,chi,orig,true,,,,
mp-769563__mp-769563-EXAFS-V-K,chi,true,pred,,,,
mp-769563__mp-769563-EXAFS-V-K,xmu,orig,pred,0.024979053330758214,0.7035528046993156,0.12007944842141086,0.05747749853347143
mp-769563__mp-769563-EXAFS-V-K,xmu,orig,true,,,,
mp-769563__mp-769563-EXAFS-V-K,xmu,true,pred,,,,
mp-775640__mp-775640-EXAFS-Te-K,chi,orig,pred,,,,
mp-775640__mp-775640-EXAFS-Te-K,chi,orig,true,,,,
mp-775640__mp-775640-EXAFS-Te-K,chi,true,pred,,,,
mp-775640__mp-775640-EXAFS-Te-K,xmu,orig,pred,0.0011552502938228478,0.8411446076541172,0.032790810962678676,0.015459462534190083
mp-775640__mp-775640-EXAFS-Te-K,xmu,orig,true,,,,
mp-775640__mp-775640-EXAFS-Te-K,xmu,true,pred,,,,
mp-861947__mp-861947-EXAFS-Ga-K,chi,orig,pred,,,,
mp-861947__mp-861947-EXAFS-Ga-K,chi,orig,true,,,,
mp-861947__mp-861947-EXAFS-Ga-K,chi,true,pred,0.9683781256025747,0.18653739236680575,0.05724252736324367,0.03243565375015804
mp-861947__mp-861947-EXAFS-Ga-K,xmu,orig,pred,0.011563069256869344,0.6185577895380492,0.09326519833387317,0.033763582291578394
mp-861947__mp-861947-EXAFS-Ga-K,xmu,orig,true,0.03357612158503984,0.10507346428447145,0.1603437781248852,0.0343472018754474
mp-861947__mp-861947-EXAFS-Ga-K,xmu,true,pred,0.009811592027293958,0.6773165591400316,0.08379425386094175,0.025325921415129144
mp-863664__mp-863664-EXAFS-Ge-K,chi,orig,pred,,,,
mp-863664__mp-863664-EXAFS-Ge-K,chi,orig,true,,,,
mp-863664__mp-863664-EXAFS-Ge-K,chi,true,pred,,,,
mp-863664__mp-863664-EXAFS-Ge-K,xmu,orig,pred,0.08291988909515176,-0.2914757334751349,0.25384203396781096,0.04543212162976475
mp-863664__mp-863664-EXAFS-Ge-K,xmu,orig,true,0.01642181045626389,0.467539876131736,0.1125296149747693,0.03193472511910163
mp-863664__mp-863664-EXAFS-Ge-K,xmu,true,pred,0.01837284431820415,0.8696629558156345,0.1165001148629081,0.04708703896622332
mp-865935__mp-865935-EXAFS-Mg-K,chi,orig,pred,,,,
mp-865935__mp-865935-EXAFS-Mg-K,chi,orig,true,,,,
mp-865935__mp-865935-EXAFS-Mg-K,chi,true,pred,1.151942050325635,-0.17167904229673353,0.1076805321774838,0.050423421416010555
mp-865935__mp-865935-EXAFS-Mg-K,xmu,orig,pred,0.028892321713755914,0.959323258397882,0.08104114071688696,0.043189768233648534
mp-865935__mp-865935-EXAFS-Mg-K,xmu,orig,true,0.160629746172685,0.7434486474187694,0.196589669421381,0.034277479241027635
mp-865935__mp-865935-EXAFS-Mg-K,xmu,true,pred,0.07524701182529257,0.8624849452438217,0.1397923946939994,0.03267017290432066
mp-867816__mp-867816-EXAFS-Ru-K,chi,orig,pred,0.9018270913157158,0.3442242902225648,0.06278447910947997,0.04366707499249497
mp-867816__mp-867816-EXAFS-Ru-K,chi,orig,true,1.2854844825655984,0.10367050443203718,0.07495905036438827,0.04901822736662946
mp-867816__mp-867816-EXAFS-Ru-K,chi,true,pred,1.0119813172745642,0.4814395926913103,0.0432575213847184,0.03193605614939145
mp-867816__mp-867816-EXAFS-Ru-K,xmu,orig,pred,0.00592652613347404,0.851294864742394,0.07102434212697814,0.060021698500089905
mp-867816__mp-867816-EXAFS-Ru-K,xmu,orig,true,0.0022260211677967963,0.8157613352465837,0.04354158823867816,0.024643821422574454
mp-867816__mp-867816-EXAFS-Ru-K,xmu,true,pred,0.0050739842497172,0.8922509631651705,0.06564735063261716,0.05795740023301267
